,s_r_x,shoulder_right,s_r_z,e_r_x,elbow_right,e_r_z,w_r_x,wrist_right,w_r_z,h_r_x,hand_right,h_r_z,ht_x,handtip_right,ht_z,t_r_x,thumb_right,t_r_z
frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
19,1.98991,-41.908,1531.8,-208.637,105.094,1408.66,-29.1457,-32.5398,1481.43,35.1236,-109.712,1451.18,-1.32648,-76.4981,1355.72,51.8789,-99.9261,1375.41
20,-1.00552,-43.6053,1546.14,-202.743,105.554,1406.09,-18.765,-46.8747,1425.18,40.3726,-134.469,1420.26,6.60749,-70.8362,1339.28,72.6348,-139.006,1348.4
21,-0.95515,-43.6029,1546.37,-202.698,105.483,1406.24,-18.7547,-46.986,1425.37,40.3044,-134.635,1420.47,6.59247,-70.9956,1339.47,72.5596,-139.223,1348.61
22,-0.470102,-34.3444,1567.12,-204.238,108.494,1420.98,-45.1182,-72.0478,1426.65,-11.7331,-118.141,1336.91,-16.7482,-63.706,1431.05,63.4843,-96.8024,1324.05
23,-0.911236,-34.3942,1572.59,-204.412,106.367,1424.01,-56.2511,-83.28,1430.74,-11.5322,-118.338,1340.93,-22.9372,-74.738,1440.04,65.9917,-102.066,1343.31
24,-1.41838,-33.6557,1572.01,-203.719,108.314,1422.78,-72.5227,-93.554,1417.07,-21.3143,-122.214,1328.43,-110.797,-141.722,1387.35,56.5816,-113.637,1340.37
25,-0.323355,-33.102,1571.61,-203.195,106.166,1421.07,-105.014,-80.2902,1304.9,-77.6309,-108.625,1206.25,-113.169,-108.854,1309.1,-4.80016,-81.2413,1191.43
26,1.08351,-30.6749,1580.6,-204.081,101.953,1424.1,-107.473,-84.9885,1304.56,-91.3107,-155.174,1225.65,-100.477,-119.082,1328.56,-49.0113,-119.579,1168.29
27,1.92089,-25.3421,1573.84,-211.84,113.51,1439.08,-159.748,-66.1759,1287.93,-115.653,-161.595,1302.86,-126.318,-190.095,1407.28,-67.8175,-177.117,1241.72
28,2.74162,-25.5459,1574.33,-211.098,115.639,1442.82,-179.467,-60.9453,1283.02,-146.887,-161.706,1288.81,-166.572,-191.611,1391.38,-98.847,-176.203,1227.68
29,4.63243,-25.0168,1569.93,-208.67,123.471,1453.49,-181.022,-61.2018,1306.63,-209.574,-159.744,1284.92,-215.584,-173.745,1391.26,-186.178,-177.042,1212.34
30,6.64823,-25.5929,1570.23,-206.38,121.555,1453.1,-220.602,-44.8087,1284.84,-234.715,-147.548,1270.89,-249.951,-180.43,1371.77,-206.706,-167.192,1200.77
31,8.18369,-24.2912,1570.6,-206.585,119.602,1454.7,-250.314,-31.759,1278.55,-252.616,-135.963,1274.2,-272.326,-167.307,1374.44,-217.856,-158.791,1208.46
32,11.9568,-24.3036,1570.17,-203.222,125.844,1464.58,-259.699,-22.7191,1290.22,-322.821,-99.8053,1320.55,-354.918,-129.168,1417.96,-333.475,-148.073,1260.65
33,13.7376,-23.8243,1568.56,-203.93,124.349,1470.61,-280.406,-14.0702,1297.66,-352.546,-87.7072,1306.33,-392.617,-113.664,1400.94,-354.152,-128.376,1240.8
34,16.1798,-21.5859,1569.23,-204.314,119.372,1465.18,-320.418,23.5754,1284.83,-370.4,-65.0797,1304.72,-421.616,-101.818,1390.23,-353.622,-115.882,1248.89
35,16.8085,-21.9843,1567.88,-205.383,119.978,1468.7,-329.849,34.6554,1288.57,-387.212,-42.9129,1326.68,-435.061,-95.7685,1405.48,-403.598,-91.9977,1269.19
36,16.3843,-20.9386,1566.85,-209.297,120.006,1470.82,-345.544,38.9288,1296.06,-416.788,-36.869,1290.72,-469.236,-50.3064,1382.67,-401.648,-80.716,1228.42
37,17.6244,-21.1245,1567.88,-207.9,120.383,1470.39,-361.685,58.6216,1301.66,-431.381,-16.0751,1280.15,-478.743,-49.1467,1370.15,-416.461,-44.2015,1209.1
38,19.7147,-21.7944,1567.86,-205.138,124.601,1475.17,-371.189,78.0718,1312.89,-466.272,42.3538,1288.2,-523.918,25.5529,1376.86,-464.714,16.3053,1214.75
39,21.3686,-20.7462,1567.53,-205.234,123.69,1480.1,-380.863,82.1784,1328.47,-475.913,45.8136,1306.78,-536.224,32.7661,1393.7,-475.312,16.3043,1235.02
40,22.1802,-18.9058,1567.68,-208.567,126.602,1476.57,-389.639,137.974,1319.61,-476.306,83.763,1347.27,-560.716,41.4418,1400.69,-507.994,52.0921,1282.24
41,22.8961,-19.7227,1569.33,-205.816,129.434,1477.76,-392.357,152.195,1328.1,-490.629,114.089,1316.42,-542.195,89.3534,1408.78,-500.063,91.3428,1241.27
42,25.1861,-17.9525,1568.94,-204.313,130.49,1478.39,-399.68,162.316,1342.36,-499.201,129.442,1358.35,-570.532,116.332,1439.2,-525.444,95.3848,1292.01
43,26.6384,-16.6363,1567.09,-204.081,130.787,1480.64,-397.618,189.984,1352.57,-493.209,158.802,1385.25,-574.893,146.254,1455.25,-528.799,120.747,1326.08
44,26.9146,-16.4719,1567.07,-203.42,130.916,1479.54,-406.881,192.923,1369.44,-505.117,184.468,1407.6,-569.112,208.896,1491.49,-546.022,135.71,1361.07
45,31.2475,-18.5379,1567.24,-196.862,129.877,1478.17,-398.167,213.815,1380.78,-491.409,192.715,1425.26,-560.359,170.474,1505.37,-546.078,190.146,1368.81
